name,ver,size,deps,reqBy,reason,installed,desc
"kakoune-lsp","19.0.1-1",8035167,"kakoune","","","1767835911","Kakoune Language Server Protocol Client"
"jq","1.8.1-1",469164,"glibc oniguruma","","","1760835011","Command-line JSON processor"
"libfyaml","0.9.5-1",1150666,"glibc","","1","1772285549","Fully feature complete YAML parser and emitter"
"python-numpy","2.4.2-1",49917349,"cblas lapack python","","1","1770172978","Scientific tools for Python"
"s2n-tls","1.7.0-1",1721400,"gcc-libs glibc openssl","","1","1770172977","A C99 implementation of the TLS/SSL protocols that is designed to be simple, small, fast, and with security as a priority"
"perl-io-tty","1.20-3",154382,"glibc","","1","1763301816","Provide an interface to TTYs and PTYs"
"gobject-introspection-runtime","1.86.0-2",154460,"libgirepository=1.86.0-2","","1","1768133968","Introspection system for GObject-based libraries - runtime"
"mpd","0.24.8-1",6328103,"gcc-libs glibc hicolor-icon-theme libcdio libcdio-paranoia libgme libmad libmms libmodplug libmpcdec libnfs libshout libsidplayfp libsoxr pcre2 wavpack wildmidi zlib zziplib alsa-lib libasound.so=2-64 avahi libavahi-client.so=3-64 libavahi-common.so=3-64 bzip2 libbz2.so=1.0-64 chromaprint libchromaprint.so=1-64 curl libcurl.so=4-64 dbus libdbus-1.so=3-64 expat libexpat.so=1-64 faad2 libfaad.so=2-64 ffmpeg libavcodec.so=62-64 libavfilter.so=11-64 libavformat.so=62-64 libavutil.so=60-64 flac libFLAC.so=14-64 fluidsynth libfluidsynth.so=3-64 fmt libfmt.so=12-64 icu libicui18n.so=78-64 libicuuc.so=78-64 jack libjack.so=0-64 lame libmp3lame.so=0-64 libao libao.so=4-64 libid3tag libid3tag.so=0-64 libmikmod libmikmod.so=3-64 libmpdclient libmpdclient.so=2-64 libogg libogg.so=0-64 libopenmpt libopenmpt.so=0-64 libpipewire libpipewire-0.3.so=0-64 libpulse libpulse.so=0-64 libsamplerate libsamplerate.so=0-64 libsndfile libsndfile.so=1-64 libupnp libixml.so=11-64 libupnp.so=17-64 libvorbis libvorbis.so=0-64 libvorbisenc.so=2-64 mpg123 libmpg123.so=0-64 openal libopenal.so=1-64 opus libopus.so=0-64 sqlite libsqlite3.so=0-64 systemd-libs libsystemd.so=0-64 twolame libtwolame.so=0-64","","","1769654416","Flexible, powerful, server-side application for playing music"
"gtk3","1:3.24.51-1",55110271,"adwaita-fonts adwaita-icon-theme at-spi2-core cairo dconf desktop-file-utils fontconfig fribidi gdk-pixbuf2 glib2 glibc harfbuzz iso-codes libcloudproviders libcolord libcups libegl libepoxy libgl librsvg libx11 libxcomposite libxcursor libxdamage libxext libxfixes libxi libxinerama libxkbcommon libxrandr libxrender pango shared-mime-info tinysparql wayland gtk-update-icon-cache","","1","1763603505","GObject-based multi-platform GUI toolkit"
"libnsbmp","0.1.7-1",26867,"","","1","1764210337","Decoding library for BMP and ICO image file formats"
"libogg","1.3.6-1",460025,"glibc","","1","1760794778","Ogg bitstream and framing library"
"kidletime","6.23.0-1",220422,"gcc-libs glibc qt6-base","","1","1771691677","Monitoring user activity"
